season,fans_level,fans_level,gap_day,gap_avs,mid_gap_day,mid_avs,up_cnt
2017-2,1,0-100,6.746550671,4.316841953,7,2,1109610
2017-2,2,100-1000,9.759736553,26.50717647,11,13,109664
2017-2,3,1000-1w,10.02921598,67.66209512,12,26,31645
2017-2,4,1w-10w,13.0991376,160.3667049,20,49,6103
2017-2,5,10w+,14.18882438,388.3112583,20,101,755
2017-3,1,0-100,60.27712657,1.448898502,64,1,272311
2017-3,2,100-1000,32.96782703,9.477392032,48,3,39433
2017-3,3,1000-1w,26.04559903,14.52433592,38,4,12122
2017-3,4,1w-10w,43.32928133,33.97666226,53,11,2271
2017-3,5,10w+,64.66699897,45.76315789,72,17,190
2017-4,1,0-100,163.2661075,1.59633942,195,1,216687
2017-4,2,100-1000,62.41921031,12.92088827,123,5,30260
2017-4,3,1000-1w,49.11235944,21.60460802,86,7,10242
2017-4,4,1w-10w,78.08823455,56.18850698,125,18,1862
2017-4,5,10w+,128.8729152,83.19318182,158,30,176
2018-1,1,0-100,59.31010065,1.477367142,19,1,282951
2018-1,2,100-1000,67.81694131,13.71118563,130,6,36587
2018-1,3,1000-1w,52.57095393,22.4759562,83,7,12584
2018-1,4,1w-10w,98.73947163,68.06934126,165,21,2015
2018-1,5,10w+,176.0807599,126.659292,227,44.5,226
2018-2,1,0-100,199.989013,1.530542842,334,1,359626
2018-2,2,100-1000,73.5599405,15.57160973,109,6,41007
2018-2,3,1000-1w,48.03638176,25.99201016,63,8,13392
2018-2,4,1w-10w,111.2313462,79.87927107,148,29,2195
2018-2,5,10w+,223.231587,168.1324786,314,59.5,234
2018-3,1,0-100,212.5371845,1.440333364,422,1,690897
2018-3,2,100-1000,76.05490722,17.81564301,99,7,50668
2018-3,3,1000-1w,46.52045183,30.13263889,60,9,14400
2018-3,4,1w-10w,122.549168,88.35584416,160,32,2695
2018-3,5,10w+,227.705649,158.2982456,345.5,72,342
2018-4,1,0-100,221.4069424,1.490592403,508,1,581817
2018-4,2,100-1000,98.48746647,21.82268937,130,8,46286
2018-4,3,1000-1w,51.26689947,33.04913109,73,8,13983
2018-4,4,1w-10w,136.1475226,93.58140513,177,32,2377
2018-4,5,10w+,244.2627777,209.5855263,316,76.5,303
2019-1,1,0-100,94.69854351,1.544166169,63.5,1,756484
2019-1,2,100-1000,97.82688787,19.88698277,156,7,63946
2019-1,3,1000-1w,40.7645325,27.24829053,51,6,19743
2019-1,4,1w-10w,123.626471,78.73654672,174,27,3027
2019-1,5,10w+,226.2455312,158.5315126,271,57,476
2019-2,1,0-100,257.7408935,1.506795543,690,1,849601
2019-2,2,100-1000,98.83537644,20.67830191,150,8,72882
2019-2,3,1000-1w,41.94910524,28.11520358,44,6,21883
2019-2,4,1w-10w,115.359805,81.33115183,149.5,22,3820
2019-2,5,10w+,239.3548004,232.1046771,340,60,449
2019-3,1,0-100,67.28004687,1.391862454,57,1,1166912
2019-3,2,100-1000,101.2880701,21.78994182,152,9,77685
2019-3,3,1000-1w,52.64646806,29.52610214,69,7,22910
2019-3,4,1w-10w,101.0512534,70.28218123,127,21,4933
2019-3,5,10w+,216.9925295,156.1490909,281,55,550
2019-4,1,0-100,91.30667091,1.420260294,75,1,997182
2019-4,2,100-1000,117.1645249,25.00633836,169,10,60268
2019-4,3,1000-1w,69.09156939,38.98863762,95,10,18042
2019-4,4,1w-10w,107.4987227,75.09856215,138,22,4312
2019-4,5,10w+,190.3385676,159.1310212,250.5,52,519
2020-1,1,0-100,145.9799542,1.363756587,248,1,2007631
2020-1,2,100-1000,105.4760016,23.61088981,169,10,111460
2020-1,3,1000-1w,57.71386018,34.78376542,83,9,29431
2020-1,4,1w-10w,99.57059221,70.76343777,144,20,6958
2020-1,5,10w+,195.8095361,128.3726514,263,52,958
2020-2,1,0-100,197.6035663,1.451306924,320,1,1845478
2020-2,2,100-1000,106.0511489,26.83686575,118,12,119747
2020-2,3,1000-1w,45.08412551,33.22243917,55,9,33290
2020-2,4,1w-10w,82.2873655,68.25853516,94,18,6854
2020-2,5,10w+,179.6558612,154.0494822,265.5,49,869
2020-3,1,0-100,123.0071053,1.550885119,181,1,1545743
2020-3,2,100-1000,134.2212016,30.89933027,170,13,104588
2020-3,3,1000-1w,61.63594299,38.18730689,91,10,31695
2020-3,4,1w-10w,90.40150557,78.87923698,115,20,6808
2020-3,5,10w+,161.4621162,138.1563745,202.5,45,1004
2020-4,1,0-100,264.9579362,1.432997864,455,1,2359959
2020-4,2,100-1000,155.2862901,37.62443328,227,13,89842
2020-4,3,1000-1w,78.39901784,50.76470588,122,12,28490
2020-4,4,1w-10w,104.4306605,95.5567804,147,24,5697
2020-4,5,10w+,186.9487387,166.6843267,240,46,905
2021-1,1,0-100,218.521482,1.406731986,238.5,1,2332150
2021-1,2,100-1000,159.3185005,40.09585069,259,13,110693
2021-1,3,1000-1w,76.15069123,58.4964449,111,14,31504
2021-1,4,1w-10w,106.0973535,133.8311195,156,27,6323
2021-1,5,10w+,178.0223342,141.0228426,276,54,1182
2021-2,1,0-100,317.0311596,1.537970638,425,1,1239010
2021-2,2,100-1000,160.5343825,42.7465175,274,13,55420
2021-2,3,1000-1w,75.4164423,64.31078443,94,13,17414
2021-2,4,1w-10w,113.752009,135.084316,154,29,3392
2021-2,5,10w+,176.2669312,157.34,259,49,650