log_date_month,fans_level,fans_level,all_rel_cnt,play_mid_cnt,up_cnt
202105,5,10w+,42024241,5425994784,9338
202105,4,1w-10w,26368328,4203712075,57812
202105,3,1000-1w,13029648,3238488612,252467
202105,2,100-1000,5000196,2197166203,858221
202105,1,0-100,1938937,1244858305,17391396
202104,5,10w+,87196927,11442546995,9170
202104,4,1w-10w,60163635,8969338194,57414
202104,3,1000-1w,28917250,6823469790,250093
202104,2,100-1000,11332366,4653009673,856205
202104,1,0-100,4230042,2586942759,17045655
202103,5,10w+,88676662,11304063271,8814
202103,4,1w-10w,59144320,8669548301,56862
202103,3,1000-1w,29840721,6660911287,254523
202103,2,100-1000,11995616,4857198446,847633
202103,1,0-100,4433224,2782033331,16403251
202102,5,10w+,111878701,11780239299,8478
202102,4,1w-10w,68463103,9510961998,55576
202102,3,1000-1w,33124527,7309643485,246528
202102,2,100-1000,13278611,5789302692,816108
202102,1,0-100,5087443,3353614020,15876773
202101,5,10w+,109016635,10353769669,8028
202101,4,1w-10w,66918098,8312818030,53936
202101,3,1000-1w,33231429,6739966745,238395
202101,2,100-1000,12812761,5181272459,790629
202101,1,0-100,4764859,3043708220,15209255
202012,5,10w+,79137494,8264811740,7667
202012,4,1w-10w,52024991,6134741121,52106
202012,3,1000-1w,24738961,5278771530,229683
202012,2,100-1000,9873214,4052475806,763767
202012,1,0-100,3789178,2450649489,14160965
202011,5,10w+,67478381,7326011047,7378
202011,4,1w-10w,50827860,5905723785,50583
202011,3,1000-1w,22542645,5009362475,221849
202011,2,100-1000,9310138,3719680600,742504
202011,1,0-100,3539550,2222144481,12775661
202010,5,10w+,66469454,7347133359,7103
202010,4,1w-10w,48521804,5672517513,49369
202010,3,1000-1w,24848185,4964014988,216396
202010,2,100-1000,9542841,3723174514,726514
202010,1,0-100,3853876,2284755017,12397256
202009,5,10w+,57895988,6654729506,6823
202009,4,1w-10w,42836550,5028434706,47703
202009,3,1000-1w,22530276,4455948955,209337
202009,2,100-1000,8697498,3332463943,703612
202009,1,0-100,3640503,2108628143,11913905
202008,5,10w+,93772815,8803269111,6582
202008,4,1w-10w,63749639,6861332553,46414
202008,3,1000-1w,31803705,6337217729,203589
202008,2,100-1000,12022717,4808005631,688002
202008,1,0-100,5132245,2945750789,11581951
202007,5,10w+,50879074,7890524712,6198
202007,4,1w-10w,32249364,6073102405,44273
202007,3,1000-1w,17754297,5913400372,194819
202007,2,100-1000,6615844,4636677434,661141
202007,1,0-100,2921013,2933231809,10991632
202006,5,10w+,20293417,6113118880,5874
202006,4,1w-10w,13673389,4580777074,42298
202006,3,1000-1w,7274639,4594306127,187335
202006,2,100-1000,2690971,3740321172,635219
202006,1,0-100,1259118,2556778196,10479288
202005,5,10w+,2163317978,6007866555,5623
202005,4,1w-10w,700708432,4442962289,40825
202005,3,1000-1w,203683909,4687051659,180712
202005,2,100-1000,49256220,3967727230,613593
202005,1,0-100,12958734,2918458095,10038376
202004,5,10w+,2179869341,6084744733,5353
202004,4,1w-10w,718619389,4500086644,38976
202004,3,1000-1w,211804826,4892928794,172219
202004,2,100-1000,52774219,4211432279,585951
202004,1,0-100,14349637,3143521198,9456452
202003,5,10w+,2078098768,6133586694,5043
202003,4,1w-10w,700789199,4706879470,36946
202003,3,1000-1w,202871358,4956378081,163449
202003,2,100-1000,50662642,4109649483,554561
202003,1,0-100,13630589,3019559769,8763328
202002,5,10w+,1707132991,5191932800,4712
202002,4,1w-10w,615004604,4249182595,34691
202002,3,1000-1w,179455787,4532648233,154015
202002,2,100-1000,41821373,3479334116,516834
202002,1,0-100,10844395,2383839674,7943947
202001,5,10w+,1559737611,4793123209,4373
202001,4,1w-10w,543612797,3715020234,32607
202001,3,1000-1w,150779107,3966270258,147103
202001,2,100-1000,32137384,3084400590,484628
202001,1,0-100,7407361,2049250803,7229014